Type,Problem,Incident,Outage,diagramText,Why,Show,Agent,agentName,Behavior,behaviorDurMinutes,Issue,Time,rootCauseBool,Date,nodeID,Comment,
Symptom,PRB0005931,INC1289531 ,OUTAGE002698,"""Transmission and G&P consoles experience degradations on May 20th through 21st.""",0,Transmission and GYP consoles degradation,Consumer,Controllers,Controlling,120,Missing data,11:00PM,FALSE,2023-05-20,PRB0005931-0,N/A,
Cause,PRB0005931,INC1289531 ,OUTAGE002698,"""DCX firewalls stopped SCADA traffic.""",1,DCX firewalls stopped SCADA traffic.,Security,Firewalls,Interrupting,0,Interrupting,11:00PM,FALSE,2023-05-20,PRB0005931-1,N/A,
Cause,PRB0005931,INC1289531 ,OUTAGE002698,SCADA servers were on DCX.,2,SCADA servers were on DCX.,Servers,SCADA servers,At DCX,0,N/A,N/A,FALSE,2023-05-20,PRB0005931-2,N/A,
Corrective Action,PRB0005931,INC1289531 ,OUTAGE002698,SCADA failed over to DC1.,3,SCADA failed over to DC1.,Servers,SCADA servers,Failed over,0,N/A,N/A,FALSE,2023-05-20,PRB0005931-3,N/A,
Cause,PRB0005931,INC1289531 ,OUTAGE002698,"""The primary firewall had a bad hard drive, which caused it to fail to the secondary.""",4,Firewall had bad drive,Security,Firewalls,Bad drive,0,Error,N/A,FALSE,2023-05-20,PRB0005931-4,N/A,
Cause,PRB0005931,INC1289531 ,OUTAGE002698,The failover was slow and had time-outs.,5,The failover was slow and had time-outs.,Failover,Failover,Slow,0,Slow,N/A,FALSE,2023-05-20,PRB0005931-5,N/A,
Cause,PRB0005931,INC1289531 ,OUTAGE002698,"""When the primary firewall failed over to the secondary, the secondary failed back over to the primary.""",6,Primary failed to secondary --> secondary failed to primary,Failover,Failover,Failed back,0,Error,N/A,FALSE,2023-05-20,PRB0005931-6,N/A,
Cause,PRB0005931,INC1289531 ,OUTAGE002698,Unknown.,7,Unknown,N/A,N/A,N/A,0,,N/A,TRUE,2023-05-20,PRB0005931-7,N/A,
Cause,PRB0005931,INC1289531 ,OUTAGE002698,"""The two main ports of the standby firewall were not active/linked, and they were not configured to port channel. (HA tuning) """,8,Two main ports not linked and not configured to port tuning,Network config,Ports,Configuration,0,Configured incorrectly,N/A,FALSE,2023-05-20,PRB0005931-8,N/A,
Cause,PRB0005931,INC1289531 ,OUTAGE002698,The secondary firewall did not think that it was healthy.,9,The secondary firewall did not think that it was healthy.,Security,Firewalls,State evaluation,0,N/A,N/A,FALSE,2023-05-20,PRB0005931-9,N/A,
